cid,text,time,author,channel,votes,photo,heart,reply
UgzePCZPxEAjKQHjSKh4AaABAg,Keren membantu saya yg lagi mau belajar pemrograman dan sejararah pemrograman,10 bulan yang lalu,@daudmiojomoniung2527,UCKv9jwRa10y8EE2Hs9AekHg,1,https://yt3.ggpht.com/EIuHnQdZDuvvzfZv2uNqKSZXgzQa8YROTNaHcijxaZ3bkJecyl-3Knvg9r8SMHmkO3DHuSMOzj0=s176-c-k-c0x00ffffff-no-rj,False,False
UgxIxO3-fh_DaCw6-sx4AaABAg,"Huruf, angka, dan simbol yang mengubah dunia",1 tahun yang lalu,@lorenzho171,UC90NarW1-WWWnqtNJekC2IA,1,https://yt3.ggpht.com/xi2mzyNFh3M4dHc2OLM8GltkRUJuNjt9cQGW5PxeKUD6--J8bhSf6GfAx8g40dEsozWYKmOp8Q=s176-c-k-c0x00ffffff-no-rj,False,False
